#{"t_start": 1676295043.749491, "env_id": null}
r,l,t
99,6,80.945329
99,6,80.963996
-144,51,81.090064
74,33,81.171783
94,13,81.207987
89,16,81.246889
90,16,81.286751
-101,7,81.307601
-103,9,81.330997
97,9,81.350554
-143,51,81.481743
-120,27,81.54742
83,23,81.607845
-110,16,81.64795
78,28,81.715612
-106,11,81.74677
-104,9,81.766692
74,32,81.849506
-101,4,81.861339
-144,51,81.988135
86,21,82.041146
-143,51,82.166902
-108,14,82.201724
-144,51,82.326168
90,16,82.364287
-107,13,82.399303
-113,19,82.450523
97,8,82.468806
57,50,82.592871
98,8,82.614303
89,17,82.653231
92,13,82.687813
-107,13,82.721362
-101,6,82.735737
98,7,82.752865
97,8,82.776163
-100,4,82.787101
94,11,82.814373
-131,38,82.907325
100,3,82.91663
95,11,82.943712
-145,51,83.06869
-143,51,83.198153
-121,28,83.268095
-112,19,83.318626
98,6,83.332942
-107,12,83.366045
96,7,83.382508
89,16,83.42084
96,9,83.448219
-144,51,83.576992
-116,22,83.638451
95,10,83.666267
-31,39,83.766907
93,13,83.801559
99,5,83.814444
98,5,83.827373
73,35,83.916175
92,14,83.95071
-107,12,83.978643
-101,6,83.993053
87,19,84.042629
-111,17,84.088312
99,5,84.100913
-109,13,84.129954
-144,51,84.255028
98,7,84.275074
79,28,84.342458
89,17,84.387821
99,5,84.400818
-108,13,84.431196
-109,13,84.465722
88,18,84.51192
-143,51,84.636501
-144,51,84.759923
99,4,84.77106
82,24,84.831308
93,13,84.86237
69,39,84.960771
95,10,84.989224
98,7,85.005475
-101,7,85.025689
88,19,85.074402
-118,25,85.136551
-105,10,85.16127
-143,51,85.28561
99,7,85.30163
91,14,85.337836
-102,8,85.36015
97,8,85.377901
95,9,85.401175
-143,51,85.528698
-117,23,85.591045
100,4,85.601912
-116,22,85.656294
-144,51,85.7872
-144,51,85.91652
-120,26,85.98559
-100,4,85.993059
-143,50,86.114494
99,6,86.13321
-114,20,86.183874
-105,11,86.21277
59,48,86.33116
-101,5,86.343743
-100,4,86.354678
-143,51,86.47877
-125,31,86.556314
-143,51,86.682237
97,7,86.698507
89,17,86.742814
94,11,86.768787
-108,13,86.798596
-144,51,86.929323
100,3,86.934808
-102,6,86.949673
-145,51,87.078661
-101,6,87.093375
100,3,87.09861
99,7,87.118734
-144,51,87.24236
-120,27,87.308805
83,24,87.369381
69,37,87.465532
-108,14,87.499227
-103,9,87.523582
-102,4,87.5347
-145,51,87.661139
98,7,87.68006
96,10,87.704788
82,25,87.768802
77,30,87.842827
93,12,87.871909
-101,5,87.884908
99,6,87.899177
-144,51,88.025934
-132,39,88.124734
-100,3,88.134076
-144,51,88.259152
95,10,88.284338
-139,46,88.399353
-115,21,88.450887
-109,15,88.488095
93,12,88.520913
95,10,88.547005
97,9,88.571238
-102,7,88.587472
96,9,88.610923
99,6,88.625172
96,10,88.649923
96,8,88.670736
-144,51,88.798651
94,12,88.827366
80,27,88.898631
-116,23,88.952079
85,22,89.010219
